source,target,count,amount
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,0x1522900b6dafac587d499a862861c0869be6e428,31,3038.733279
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x243bec9256c9a3469da22103891465b47583d9f1,31,114.377898
0x96fc4553a00c117c5b0bed950dd625d1c16dc894,0x7727e5113d1d161373623e5f49fd568b4f543a9e,31,165.4026137
0xd24400ae8bfebb18ca49be86258a3c749cf46853,0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,31,215.3603234
0x2b5634c42055806a59e9107ed44d43c426e58258,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,30,183.1537071
0x8271b2e8cbe29396e9563229030c89679b9470db,0x1522900b6dafac587d499a862861c0869be6e428,30,677.7780786
0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,0xfa52274dd61e1643d2205169732f29114bc240b3,29,615.3693092
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,28,1535.372941
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x9c67e141c0472115aa1b98bd0088418be68fd249,28,374.9821295
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,28,30.48363184
0xe03c23519e18d64f144d2800e30e81b0065c48b5,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,28,72.00139806
0xeed16856d551569d134530ee3967ec79995e2051,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,28,25.64204671
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,27,260.680356
0xd3273eba07248020bf98a8b560ec1576a612102f,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,27,38.37393463
0xe03c23519e18d64f144d2800e30e81b0065c48b5,0x7727e5113d1d161373623e5f49fd568b4f543a9e,27,63.7412056
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,0x243bec9256c9a3469da22103891465b47583d9f1,26,83.69440502
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x3613ef1125a078ef96ffc898c4ec28d73c5b8c52,26,65.92492205
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,0xfa52274dd61e1643d2205169732f29114bc240b3,25,892.3967814
0x243bec9256c9a3469da22103891465b47583d9f1,0x1522900b6dafac587d499a862861c0869be6e428,25,256.283049
0x2b5634c42055806a59e9107ed44d43c426e58258,0x8271b2e8cbe29396e9563229030c89679b9470db,25,68.88517493
0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,0x7727e5113d1d161373623e5f49fd568b4f543a9e,25,140.8012783
0x1522900b6dafac587d499a862861c0869be6e428,0x7727e5113d1d161373623e5f49fd568b4f543a9e,24,3109.477163
0x563b377a956c80d77a7c613a9343699ad6123911,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,23,42.76340727
0x563b377a956c80d77a7c613a9343699ad6123911,0xfa52274dd61e1643d2205169732f29114bc240b3,23,10.25090009
0x96fc4553a00c117c5b0bed950dd625d1c16dc894,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,23,79.50318015
0xd3273eba07248020bf98a8b560ec1576a612102f,0xfa52274dd61e1643d2205169732f29114bc240b3,23,25.92313525
0xe03c23519e18d64f144d2800e30e81b0065c48b5,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,23,17.53800313
0xd24400ae8bfebb18ca49be86258a3c749cf46853,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,22,455.1723391
0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,0x96fc4553a00c117c5b0bed950dd625d1c16dc894,21,172.7983568
0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,19,73.80541927
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x9c67e141c0472115aa1b98bd0088418be68fd249,19,60.80767392
0x5baeac0a0417a05733884852aa068b706967e790,0x243bec9256c9a3469da22103891465b47583d9f1,19,20.57574797
0x96fc4553a00c117c5b0bed950dd625d1c16dc894,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,19,1361.556638
0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,0x1522900b6dafac587d499a862861c0869be6e428,19,309.3840587
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,0x9c67e141c0472115aa1b98bd0088418be68fd249,18,81.34338181
0x9c67e141c0472115aa1b98bd0088418be68fd249,0x7727e5113d1d161373623e5f49fd568b4f543a9e,18,40.5318466
0x3b0bc51ab9de1e5b7b6e34e5b960285805c41736,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,17,3.434207256
0x3b0bc51ab9de1e5b7b6e34e5b960285805c41736,0xfa52274dd61e1643d2205169732f29114bc240b3,17,29.95866975
0xd3273eba07248020bf98a8b560ec1576a612102f,0x7727e5113d1d161373623e5f49fd568b4f543a9e,16,20.7105122
0xeed16856d551569d134530ee3967ec79995e2051,0xfa52274dd61e1643d2205169732f29114bc240b3,16,25.21089583
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x390de26d772d2e2005c6d1d24afc902bae37a4bb,15,136.8404801
0x563b377a956c80d77a7c613a9343699ad6123911,0x7727e5113d1d161373623e5f49fd568b4f543a9e,15,8.741602466
0x96fc4553a00c117c5b0bed950dd625d1c16dc894,0x1522900b6dafac587d499a862861c0869be6e428,15,25.37768655
0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,0x3613ef1125a078ef96ffc898c4ec28d73c5b8c52,15,40.2122827
0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,14,45.79365823
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,14,316.9749979
0x5baeac0a0417a05733884852aa068b706967e790,0x96fc4553a00c117c5b0bed950dd625d1c16dc894,14,21.21843614
